name,place_id,business_status,types,lat,lng
Parque infantil,ChIJD5nQJr-Xb48Rb77uRywm1wE,OPERATIONAL,"point_of_interest,establishment",14.0387728,-87.22805129999999
CEPB José Rivera Paz,ChIJ7z8IbAC9b48RzAxkO9PfiuA,OPERATIONAL,"school,point_of_interest,establishment",14.0392464,-87.1678709
4Paws,ChIJu-GIXzKXb48R8mQAHz7mPPU,OPERATIONAL,"point_of_interest,establishment",14.0413758,-87.2385176
Jardin De Niños Jesus Aguilar Paz,ChIJu_uveHS9b48R-GiZtCtIiCY,OPERATIONAL,"school,point_of_interest,establishment",14.0433971,-87.2049042
Shadai school,ChIJ8ShdfAC9b48R1AhhrzZ3tUA,OPERATIONAL,"school,point_of_interest,establishment",14.033695,-87.2059774
La Estancia School,ChIJy2R8G72Xb48R88Hb_zVVfCE,OPERATIONAL,"point_of_interest,establishment",14.0584112,-87.24918679999999
Oleander School,ChIJFcoh8--8b48Rxoy7kLivcfg,OPERATIONAL,"school,point_of_interest,establishment",14.050265,-87.1717816
ESCUELA WESTMONT,ChIJ-4UjbzG9b48RwwOAt-TE69Q,OPERATIONAL,"school,point_of_interest,establishment",14.0506892,-87.196011
CEPB María Mercedes Sierra,ChIJL1YVZMC8b48R9QUyZkR4omk,OPERATIONAL,"school,point_of_interest,establishment",14.0627296,-87.163161
Escuela Miguel Morazán,ChIJYTVmhkGXb48RcsAov6yxQo0,OPERATIONAL,"school,point_of_interest,establishment",14.0672079,-87.28370939999999
Eagles Nest,ChIJP34vWlO9b48RtvuYpWYW-t4,OPERATIONAL,"school,point_of_interest,establishment",14.0638523,-87.20419489999999
Escuela Mixta Guaymuras,ChIJAVrTcdy8b48R7ZLYwU6Ne1Y,OPERATIONAL,"school,point_of_interest,establishment",14.0655541,-87.17522939999999
Escuela Little Brains Nursery & Preschool,ChIJQW3_b6C9b48RLlulF5o9_vA,OPERATIONAL,"school,point_of_interest,establishment",14.065049,-87.1715002
CEPBG NUEVA JERUSALEN,ChIJ69OSyj69b48RECjGCItM9jg,OPERATIONAL,"school,point_of_interest,establishment",14.065049,-87.1715002
